Strategija 1 – Du nauji konteineriai

| Konteineris | Failas | Nuskaitymas (s) | Rūšiavimas (s) | Įrašymas (s) | Bendras (s) | Atmintis (B) |
|--------------|---------|----------------|----------------|--------------|--------------|--------------|
| vector | studentai1000.txt | 0.015827 | 0.013010 | 0.004352 | 0.033189 | 188412 |
| list | studentai1000.txt | 0.016332 | 0.015271 | 0.004227 | 0.035830 | 87256 |
| vector | studentai10000.txt | 0.126357 | 0.058128 | 0.031747 | 0.216232 | 1998444 |
| list | studentai10000.txt | 0.126573 | 0.062002 | 0.032832 | 0.221407 | 832056 |
| vector | studentai100000.txt | 0.957551 | 0.415778 | 0.328320 | 1.701649 | 21620012 |
| list | studentai100000.txt | 0.942920 | 0.501871 | 0.340209 | 1.785000 | 8182204 |
| vector | studentai1000000.txt | 6.804002 | 1.842711 | 1.954002 | 10.600715 | 216012312 |
| list | studentai1000000.txt | 6.201284 | 2.701446 | 2.874028 | 11.776758 | 81817132 |
| vector | studentai10000000.txt | 54.182993 | 19.913085 | 20.829315 | 94.925393 | 2160000120 |
| list | studentai10000000.txt | 53.942888 | 30.774006 | 30.003270 | 114.720164 | 818177624 |

Strategija 2 – Vienas naujas konteineris

| Konteineris | Failas | Nuskaitymas (s) | Įrašymas (s) | Bendras (s) | Atmintis (B) |
|--------------|---------|----------------|--------------|--------------|--------------|
| vector | studentai1000.txt | 0.008800 | 0.007686 | 0.016487 | 186652 |
| list | studentai1000.txt | 0.009662 | 0.004400 | 0.014062 | 85556 |
| vector | studentai10000.txt | 0.078292 | 0.419455 | 0.497747 | 1999556 |
| list | studentai10000.txt | 0.100894 | 0.043024 | 0.143919 | 832316 |
| vector | studentai100000.txt | 0.955422 | 65.289058 | 66.244481 | 21625972 |
| list | studentai100000.txt | 1.414147 | 0.436104 | 1.850251 | 8182596 |
| vector | studentai1000000.txt | 7.382457 | 90.734936 | 98.117393 | 123318640 |
| list | studentai1000000.txt | 6.611306 | 8.723771 | 15.335077 | 82075436 |
| vector | studentai10000000.txt | 66.730549 | 140.426712 | 207.157261 | 2483700352 |
| list | studentai10000000.txt | 69.522376 | 69.699507 | 139.221883 | 821451136 |

Strategija 3 – Optimizuota (naudojami STL algoritmai)

| Konteineris | Failas | Nuskaitymas (s) | Įrašymas (s) | Bendras (s) | Atmintis (B) |
|--------------|---------|----------------|--------------|--------------|--------------|
| vector | studentai1000.txt | 0.009535 | 0.037019 | 0.046554 | 234888 |
| list | studentai1000.txt | 0.019894 | 0.054275 | 0.074170 | 85556 |
| vector | studentai10000.txt | 0.163339 | 0.153464 | 0.316804 | 2502376 |
| list | studentai10000.txt | 0.136406 | 0.170332 | 0.306738 | 832316 |
| vector | studentai100000.txt | 0.980177 | 1.228347 | 2.208524 | 26778544 |
| list | studentai100000.txt | 0.852115 | 1.642650 | 2.494766 | 14000016 |
| vector | studentai1000000.txt | 13.513278 | 12.871179 | 26.384458 | 233186400 |
| list | studentai1000000.txt | 16.078031 | 19.183705 | 35.261737 | 82075436 |
| vector | studentai10000000.txt | 146.382746 | 167.735478 | 314.118225 | 2483700352 |
| list | studentai10000000.txt | 154.682915 | 218.426093 | 373.109009 | 821451136 |
